time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi,sum_p
2019-01-03,10.76969676343644,152.96144216610915,82.12453716143065,17.639219284610526,27.993705897572166,839.1114185665937,1832.1954174103726,2962.7954372501254
2019-01-04,11.027718295342106,156.60887161551872,82.18044194148403,17.687735839156296,28.376490990854247,867.9228907857384,1873.2532860372548,3037.0574355053486
2019-01-07,11.094660701712987,159.48915952989591,82.19284792331577,17.651870192943438,28.527043328694756,874.0074075244632,1888.5800852520936,3061.5430744531195
2019-01-08,11.070688223114448,159.0790600687899,82.23992836482778,17.08036380355881,28.45208212282438,882.4811683008732,1891.4857955053,3071.8890863892884
2019-01-09,11.182468009526403,159.5058324772341,82.28508821501018,17.264604696996027,28.58268680083944,886.097599376566,1934.385774783272,3119.3040543594443
2019-01-10,11.161437830748277,159.24879833414053,82.23250553887824,17.519774160248996,28.545731136320708,890.1013827854846,1938.706693854141,3127.516323639962
2019-01-11,11.241685607504579,160.47667927026475,82.2724226938096,17.416929339461372,28.678225592635023,889.9711227088246,1949.3675437491763,3139.4246089616763
2019-01-14,11.143631831378297,159.42310743426222,82.30434603617992,17.416961448365768,28.594025470634957,885.2920436393264,1922.3981666216782,3106.572282481826
2019-01-15,11.36232789157313,161.68465159896064,82.20535772089502,17.441942175987617,28.586256382071365,894.7838897517371,1961.284245270629,3157.3486707918537
2019-01-16,11.364730043266018,161.29497398791798,82.24626112542806,17.146893453472003,28.741848128709883,896.7720698691795,1966.5335296299438,3164.1003062379173
2019-01-17,11.302124804778563,160.06218377441556,82.32941753921223,17.209955341710188,28.748777315807146,903.5798728230428,1955.8266269686314,3159.058958567598
2019-01-18,11.508293206182481,161.701599763364,82.29354919843516,17.188538702476546,29.156339502346103,915.4918140439266,1980.328160620702,3197.668295037433
2019-01-21,11.571725194594784,162.66196227387263,82.26551894659781,17.116036796345277,29.307941717019535,915.4918140439266,1988.0569843960866,3206.471983368443
2019-01-22,11.41800165287872,160.23032652461828,82.2932896590663,17.124353002584424,29.078228665976965,902.5309364162542,1974.0883762882813,3176.7635122096603
2019-01-23,11.40977810650411,160.50676347080423,82.31768635973955,17.054773006753397,29.153609822580517,904.5191165336967,1974.2894002680628,3179.2511275681413
2019-01-24,11.474176331647563,161.34302911898124,82.35287989815757,16.95170342363498,29.13513199032115,905.7634430554754,1982.5335764279785,3189.5539402461964
2019-01-25,11.567486829865823,160.60930414246624,82.29199196222197,16.97809694305035,29.229830880650397,913.4522154751711,2015.2975611472173,3229.4264873806433
2019-01-28,11.564973524624165,160.19193746318072,82.33969529821925,17.243380711188774,29.26447681613671,906.2844833621155,2015.8655452646365,3222.754492440102
2019-01-29,11.601996011043465,158.22331351538043,82.32744504000887,16.921906360353397,29.223951570386056,904.9647431117442,2012.5555940629965,3215.818949671913
2019-01-30,11.509415639076936,156.6365755603597,82.38412843816884,16.990234108912894,29.435606739902422,919.036259287781,2020.6820798202034,3236.674299594405
2019-01-31,11.629832710072815,155.32930937754054,82.4521796606851,16.590606684772148,29.71865353405725,926.9375613062376,2042.5841906646256,3265.242333937991
2019-02-01,11.796069017457247,159.71030759918486,82.49962345731352,16.8093325415331,29.985742200351716,927.770540217511,2041.7267320163207,3270.298347049672
2019-02-11,12.0106585715447,163.749199851411,82.61849248825342,16.97816116085915,30.1224361639977,928.891462456138,2057.304262958669,3291.674673650873
2019-02-12,12.097339450747858,165.11108546421193,82.65628142036009,17.292635770535707,30.09051990827698,940.8651058185976,2059.313771760195,3307.426739592925
