time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi
2009/8/31,2830.271,3277.997,113.267,8012.08,1239.5676,1020.62,19724.1895
2009/9/1,2843.7,3245.274,113.3,7780.5,1237.0248,998.04,19872.3008
2009/9/2,2890.926,3265.074,113.386,7769.33,1209.1321,994.75,19522
2009/9/3,3051.964,3427.442,113.454,8512.28,1227.0298,1003.24,19761.6797
2009/9/4,3077.142,3489.063,113.473,8810.91,1229.6875,1016.4,20318.6191
2009/9/7,3104.208,3527.254,113.523,9183.43,1224.0532,1016.4,20629.3105
2009/9/8,3170.967,3592.806,113.565,9682.49,1235.5892,1025.39,21069.8105
2009/9/9,3194.909,3613.41,113.572,9626.76,1236.4484,1033.37,20851.0391
2009/9/10,3162.914,3581.683,113.576,9391.84,1237.9233,1044.14,21069.5605
2009/9/11,3238.133,3641.816,113.55,9576.06,1228.6639,1042.73,21161.4199
2009/9/14,3293.394,3736.576,113.569,9597.68,1203.648,1049.34,20932.1992
2009/9/15,3302.642,3775.213,113.691,9611.5,1210.3467,1052.63,20866.37
2009/9/16,3258.236,3781.064,113.625,10295.73,1223.0718,1068.76,21402.9199
2009/9/17,3320.096,3868.667,113.636,10342,1230.8442,1065.49,21768.5098
2009/9/18,3199.689,3739.732,113.641,9789.81,1219.3238,1068.3,21623.4492
2009/9/21,3208.604,3804.331,113.624,9537.36,1220.9961,1064.66,21472.8496
2009/9/22,3131.026,3708.199,113.6,9694.75,1217.002,1071.66,21701.1406
2009/9/23,3060.069,3595.706,113.538,9343.14,1205.6184,1060.87,21595.5195
2009/9/24,3080.926,3568.669,113.503,9192.8,1201.9588,1050.78,21050.7305
2009/9/25,3058.528,3536.811,113.512,8829.76,1194.5569,1044.38,21024.4004
2009/9/28,2972.643,3434.655,113.535,8412.71,1176.1293,1062.98,20588.4102
2009/9/29,2972.286,3372.074,113.53,8442.41,1188.5867,1060.61,21013.1699
2009/9/30,3004.805,3400.623,113.537,8664.05,1206.1005,1057.08,20955.25
2009/10/9,3163.708,3576.444,113.599,9531.16,1224.3346,1071.49,21499.4395
2009/10/12,3151.632,3597.863,113.365,9755.84,1235.9118,1076.19,21299.3496
2009/10/13,3198.517,3659.081,113.255,9898.67,1236.3578,1073.19,21467.3594
2009/10/14,3227.399,3692.648,113.161,9879.53,1243.9056,1092.02,21886.4805
2009/10/15,3239.643,3704.404,113.107,9678.14,1235.4174,1096.56,21999.0801
2009/10/16,3241.709,3716.897,113.093,9742.36,1242.731,1087.68,21929.9004
2009/10/19,3329.158,3808.181,113.145,9960.01,1256.1163,1097.91,22200.4609
2009/10/20,3377.574,3865.832,112.985,10193.75,1258.7638,1091.06,22384.9609
2009/10/21,3369.285,3839.947,112.94,9933.45,1250.9321,1081.4,22318.1094
2009/10/22,3347.32,3855.768,112.948,9903.49,1253.4853,1092.91,22210.5195
2009/10/23,3413.252,3908.435,112.896,10032.72,1270.7355,1079.6,22589.7305
2009/10/26,3414.239,3911.653,112.962,9896.77,1280.5965,1066.95,22589.7305
2009/10/27,3314.722,3807.976,113.011,9483.35,1271.0462,1063.41,22169.5898
2009/10/28,3329.327,3846.415,112.885,9507.03,1269.4727,1042.63,21761.5801
2009/10/29,3247.051,3777.505,112.885,9213.13,1253.5798,1066.11,21264.9902
2009/10/30,3280.372,3827.683,113.005,9342.05,1266.9004,1036.19,21752.8691
2009/11/2,3392.803,3955.783,113.137,9479.83,1263.9722,1042.88,21620.1895
2009/11/3,3435.425,4053.212,112.956,9676.49,1266.0357,1045.41,21240.0605
2009/11/4,3453.888,4083.482,112.882,9836.31,1272.7387,1046.5,21614.7695
2009/11/5,3464.318,4125.781,112.807,9819.03,1267.742,1066.63,21479.0801
2009/11/6,3483.021,4145.137,112.853,9934.73,1273.141,1069.3,21829.7207
2009/11/9,3495.788,4176.188,112.897,10395.79,1277.4139,1093.08,22207.5508
2009/11/10,3503.776,4182.77,112.851,10145.3,1272.2057,1093.01,22268.1602
2009/11/11,3495.674,4199.549,112.881,10156.56,1278.3107,1098.51,22627.2109
2009/11/12,3499.992,4213.245,112.935,10201.22,1288.429,1087.24,22397.5703
2009/11/13,3518.722,4267.008,112.955,10047.88,1291.4475,1093.48,22553.6309
2009/11/16,3625.798,4364.973,113.043,10294.97,1304.2192,1109.3,22943.9805
2009/11/17,3628.354,4387.552,113.06,10256.23,1305.9278,1110.32,22914.1504
2009/11/18,3630.229,4406.779,113.133,10201.17,1319.7708,1109.8,22840.3301
2009/11/19,3642.437,4476.138,113.297,10363.54,1319.926,1094.9,22643.1602
2009/11/20,3631.013,4508.293,113.363,10273.39,1325.0825,1091.38,22455.8398
2009/11/23,3665.509,4591.339,113.39,10544.11,1351.6405,1106.24,22771.3906
2009/11/24,3548.08,4347.657,113.431,10539.33,1331.2538,1105.65,22423.14
2009/11/25,3629.629,4512.08,113.478,11270.49,1346.5008,1110.63,22611.8008
2009/11/26,3485.773,4328.408,113.495,11156,1347.7547,1110.63,22210.4102
2009/11/27,3382.51,4215.338,113.614,10316.19,1315.5217,1091.49,21134.5
2009/11/30,3511.669,4405.328,113.821,10475.98,1342.0443,1095.63,21821.5
2009/12/1,3560.831,4525.288,113.82,10978.92,1342.5461,1108.86,22113.1504
2009/12/2,3597.329,4591.384,113.875,11761.32,1354.6777,1109.24,22289.5703
2009/12/3,3590.876,4621.941,113.903,11462.73,1362.1757,1099.92,22553.8691
2009/12/4,3643.491,4506.082,113.9,11187.11,1366.349,1105.98,22498.1504
2009/12/7,3668.832,4581.242,113.79,10982.44,1370.2961,1103.25,22324.9609
2009/12/8,3624.019,4571.764,113.773,10893.76,1373.2119,1091.94,22060.5195
2009/12/9,3554.478,4498.152,113.847,10653.38,1350.9806,1095.95,21741.7598
2009/12/10,3577.237,4536.557,113.915,10755.12,1342.0954,1102.35,21700.0391
2009/12/11,3575.02,4534.763,113.928,10695.91,1349.742,1106.41,21902.1094
2009/12/14,3612.753,4513.594,113.943,10854.58,1353.0539,1114.11,22085.75
2009/12/15,3583.341,4523.493,113.938,10708.59,1358.652,1107.93,21813.9199
